"words","term.freq","doc.freq"
"draw",19,1
"art",13,1
"statue",13,1
"painting",9,1
"master",8,1
"colour",8,1
"contain",7,1
"curious",7,2
"view",7,1
"instruction",6,2
"easy",6,1
"plate",5,2
"engrave",5,2
"design",5,1
"light",5,1
"example",5,1
"manner",5,1
"receipt",5,2
"method",5,1
"book",4,1
"figure",4,2
"perspective",4,1
"painter",4,2
"direction",4,1
"assistant",3,1
"copper",3,2
"head",3,1
"human",3,2
"body",3,2
"various",3,1
"landscape",3,1
"principle",3,1
"introduction",3,1
"lesson",3,1
"variety",3,1
"practice",3,1
"crayon",3,1
"glass",3,1
"beautiful",3,2
"statuary",3,3
"original",3,2
"fame",3,1
"study",2,1
"practise",2,1
"complete",2,1
"follow",2,1
"flower",2,1
"etch",2,1
"color",2,2
"history",2,1
"landskip",2,1
"drapery",2,1
"account",2,1
"school",2,1
"add",2,1
"form",2,1
"familiar",2,1
"explain\",2,1
"approve",2,1
"copper-plate",2,1
"suitable",2,1
"noble",2,1
"shadow",2,1
"cut",2,2
"japanning",2,1
"ii",2,1
"sort",2,2
"founder",2,2
"iii",2,1
"miniature",2,1
"prepare",2,1
"collection",2,1
"elegantly",2,1
"folio",2,2
"rule",2,1
"instrument",2,1
"material",2,1
"bowles\",2,1
"subject",2,1
"pupil",2,1
"gentleman",2,2
"late",2,2
"mo",2,2
"antique",2,1
"france",2,2
"laocoon",2,1
"garden",2,1
"rome",2,1
"calculate",1,1
"improvement",1,1
"illustrate",1,1
"academy",1,1
"outline",1,1
"render",1,1
"neatly",1,1
"hundred",1,1
"le",1,1
"clerc",1,1
"annex",1,1
"proper",1,1
