id;date;titre
43;1735;the art of draw and painting in water - colour whereby stranger to those art may immediately render capable of delineating any view or prospect with the utmost exactness of color any print or draw in the most beautiful manner and of take off medal instantly by various way never before make publick intermix ' with several curious receipt for the use of painter statuary founder with instruction for make transparent color of every sort partly from some curious personage in holland france and italy but chiefly from manuscript of the great mo boyle particularly receipt of that gentleman ' for make blue color equal to ultramarine
30;1797;a compendium of color and other material use in the art dependent on design with remark on they nature and use include the method of draw in chalk crayon of painting in water color crayon of engrave in stroke chalk mezzotinto aquatinta of modeling and of sculpture
2;1740;a new introduction to the art of draw collect from most free easy design of the best master with short instruction for the use of school
16;1777;all draughtsmen assistant or draw make easy wherein the principle of that art be render familiar in ten instructive lesson comprise under the follow head feature and limb landscape profile and oval perspective whole figure enlarge and contracting drapery imitation of life light and shade history explain by great variety of example from the most approve design on copper-plate neatly engrave with suitable introduction on the utility of this noble art and observation on design as well in regard to theory as practice
4;1747;a introductive essay on draw with the nature and beauty of light and shadow and cut suitable for the young practitioner in the manner of the greatest master
5;1749;art companion or new assistant for the ingenious in three part part contain the art of draw in perspective make easy and fully explain\ the manner of draw with crayon and the best receipt for make they of all colour the way of painting on glass instruction for etch on copper - plate and to cast amber in any shape with new and curious method of make the various kind of varnish for japanning upon glass wood or metal and to make gill japan - ware as beautiful and light as that buy from the east - indy part ii contain the art of draw and painting in water - colour with sufficient direction for delineating view or prospect to the utmost exactness and for colour the same or any other print in the most beautiful manner also instruction for make transparent colour of every sort and the manner of take off medal instantly by various method not before make publick intersperse with many curious receipt for the use of painter statuary founder part iii contain the art of paint - ing in miniature whereby the various method of draw be make easy to any tolerable capacity to which be add direction for shadow stipling with many curious receipt for prepare colour peculiar to this kind of painting likewise the preparation of a excellent polish and shell the whole take from some of the best italian and other master 
28;1805;bowle complete draw - book contain a extensive collection of example on great variety of subject for the improvement of touth in the pleas ant and useful art of draw elegantly engrave on one hundred copper-plate in the follow method lesson adapt to lead the pupil gradually from the first practise on part of the human body to the draw of the whole academy figure in fifty plate by sebastian le clerc ii example of landscape sketch in outline for the first attempt of the pupil and finish with shading for he after - practice in several original plate by chatelaine viver vansomer iii design in sea-piece many example in horse cattle fowl flower after the best master on each subject to which be annex introductory rule for tiie use of learner with a account of the instrument and material use in draw 
22;1787;bowle art of painting in watercolour exempliey in landscape flower together with instruction for painting on glass and in crayon explain in full and familiar manner with particular direction for prepare the colour agreeable to the practice of the most eminent master
23;1793;bowle principle of draw form complete draw book illustrate with curious collection of example begin with a easy and simple method calculate to convey instruction to young mind by which they may acquire the art without the assistance of master every branch of draw be contain in this book ... elegantly engrave on sixty folio page of copper plate all from the original drawing of the most approve master to which ist prefixe a introduction to draw contain rule and direction for the choice of instrument and material and how to apply and manage they with easy and proper lesson for the young student
35;1785;bowle 's proportion of the human body measure from the most beautiful antique statue by monsieur audran engraver to the late king of france do from the original engrave at paris on twenty - seven large folio copper - plate the statue of venus apbrodite belong to the statue of laocoon this figure be cut out of the family of the medic nc tirie ritte andonte cericon the same statue three famoussculptor acesander pol ydoruss this statipe apoilo pythin thoot he arrow and athendorus plin lib x xxvi cha in the garden of the vatican of rome side view of the fame statue fide view of the same statue . another view of the fame statue another view of the same statue another view of the same statue another view of the same statue the statue of hercule call the farnesian by a antique fragment glicon grecian statuary the fnine of rirmite in the lnspripan carder the tire firnt mens eeman rome another view of the fame statue the jame statue . pyramus in the ludevifian garden the greater of laocoon 's child . another view of the fame statue another of laocoon child . the aerm a exybtian viece of work the part of the face of the statue of venus the statue of antinous meafure in they natural bignel another view of the fame statue . the part of the face of the statue of apolle the grecian peace meafure in they natural bigness . the grecian shepberdes
36;1791;bowle ' youth ' assistant in draw contain manu curious specimen or a easy and familiar plan adapt to lead the pupil gradually from the first practice on part of the human body to the draw of the whole academy figure in fifty plate enlarge and improve by sebastian leclerc to which be prefixe proper instruction to youth for they improvement and entertainment in this art
37;1765;de arte graphica or the art of painting translate from the original latin of c. a. dufresnoy with he life by the rev dr thomas birch with note miscellaneous and explanatory
13;1772;element of painting with crayon
10;1766;for the curious young gentleman and lady that study and practise the noble and commendable art of draw colour and japanning new and compleat draw - book consist of variety of class viz whole figure in diver position and all the several part of the human body from head to foot light airy loose landskip perspective view of sea-port fort ruin be the close study for series of year of the late mo . miniature - painter and draw - master to christ '- hospital in sixty - two copper-plate engrave by himself design chiefly for young beginner and now publish from the author\ original very necessary and useful for all draw - school boarding - school to whiich be prefixe a introduction to draw contain description of the instrument and they respective use and the material proper for draw rule for manage the pencil and the best I thod for attain perfection in the art with instruction by which young practitioner shall be enable to form judgment as well of he own performance as those of other with easy proper and necessary lesson for he at he first entrance also the name of the colour ufe wich instruction to temper and mix they and fit they for painting likewife colour for wash landskip or print of any kind with plain and easy rule for the lady japanning
40;1747;general rure for painting in oil and watercolor wash print map and mezzitintoe with the whole art of japan
42;1795;practical treatise on painting in oil - colour
19;1783;the academy or art of universal draw master exhibit the principle of art as practise by the greatest master in subject adapt to youth of both sex contain design in the manner of chalk and of indian ink of head figure historical composition landscape cattle horsess birsd flower perspective architecture with instruction at large and likewise at the bottom of each plate the whole form complete system of the art of draw painting engrave in they various branch calculate to entertain the mind and improve taste and genius
