",""x"""
"1,""draw line light figure body head object eye hand art"""
"2,""line rule foot compass base set plate proceed arch sight"""
"3,""black art paper outline example original proper lead pencil rub"""
"4,""price engrave draw book manner colour begin copperplate crayon white"""
"5,""nofe fide draught manner meafure meature learner firtt fight day"""
"6,""fold motion drapery bend wind garment consist finish breast quality"""
"7,""nose master whatever properly chalk cloath forehead amusement difficult street"""
"8,""bold bone angles hold incline parallel coloured circumference remote ancle"""
"9,""practice draught art muff crot former eafily freedom difcover ard"""
"10,""picture model likewife shoulder window breadsh harching diver object copper"""
