",""x"""
"1,""painter art nature painting colour figure subject manner picture master"""
"2,""colour water white paper dry little lay blue print mix"""
"3,""draw line figure eye body distance rule foot observe light"""
"4,""figure ground appear ought look time tree book represent landskip"""
"5,""color water colour painting oil crayon picture prepare dry carmine"""
"6,""light colour object shade sun piece dark nature manner ought"""
"7,""colour light white lay teint tint painting red middle ground"""
"8,""white shade green colour little leave carmine lay flower black"""
"9,""defign picture painting painter time art master piece himfelf draw"""
"10,""light design drapery object ought 's shew fold appear proper"""
"11,""hand left head leg arm leave piece garment step hold"""
"12,""head plate form eye line animal fig proportion nose lower"""
"13,""gold call god roman offer ancient hand king crown honour"""
"14,""white oil lead varnish earth drying time ochre prepare acid"""
"15,""plate engrave black print graver art hand etch stroke draw"""
"16,""divine god represent death apostle angel scripture peter groupe carton"""
"17,""art arte sed nor graphica de form atque ut line"""
"18,""building column marble ornament stone rife pedeftal fine frize eye"""
"19,""flower carry field shield eagle bare red silver legion memory"""
"20,""statuary painting cieling relief ciel statue deceive chiefly vii viii"""
